data_id,display,remove,correct_data_id,correct_language,done_by
abogado,abogado,,,,
abogado administrador,abogado administrador,,,,
abogado administrador de fincas,abogado administrador de fincas,,,,
abogado asesor,abogado asesor,,,,
abogado asesor fiscal,abogado asesor fiscal,,,,
abogado asistente,abogado asistente,,,,
abogado asociado,abogado asociado,,,,
abogado asociado principal,abogado asociado principal,,,,
abogado colaborador externo,abogado colaborador externo,,,,
abogado consultor,abogado consultor,,,,
abogado contratos,abogado contratos,,,,
abogado coordinador,abogado coordinador,,,,
abogado corporativo,abogado corporativo,,,,
abogado de familia,abogado de familia,,,,
abogado departamento laboral,abogado departamento laboral,,,,
abogado departamento mercantil,abogado departamento mercantil,,,,
abogado despacho propio,abogado despacho propio,,,,
abogado director,abogado director,,,,
abogado economista,abogado economista,,,,
abogado ejercicio,abogado ejercicio,,,,
abogado estudiante,abogado estudiante,,,,
abogado extranjeria,abogado extranjería,,,,
abogado fiscal sustituto,abogado fiscal sustituto,,,,
abogado gerente,abogado gerente,,,,
abogado gestor administrativo,abogado gestor administrativo,,,,
abogado graduado social,abogado graduado social,,,,
abogado laboral,abogado laboral,,,,
abogado mediador,abogado mediador,,,,
abogado mercantil,abogado mercantil,,,,
abogado mercantilista,abogado mercantilista,,,,
abogado oficio,abogado oficio,,,,
abogado pasante,abogado pasante,,,,
abogado penalista,abogado penalista,,,,
abogado procurador,abogado procurador,,,,
abogado profesor,abogado profesor,,,,
abogado propiedad industrial,abogado propiedad industrial,,,,
abogado propiedad industrial intelectual,abogado propiedad industrial intelectual,,,,
abogado propiedad intelectual,abogado propiedad intelectual,,,,
abogado relaciones laborales,abogado relaciones laborales,,,,
abogado responsable departamento laboral,abogado responsable departamento laboral,,,,
abogado servicios juridicos,abogado servicios jurídicos,,,,
acomodador,acomodador,,,,
actor,actor,,,,
actor cantante,actor cantante,,,,
actor cine,actor cine,,,,
actor creador,actor creador,,,,
actor de doblaje,actor de doblaje,,,,
actor de publicidad,actor de publicidad,,,,
actor director,actor director,,,,
actor director doblaje,actor director doblaje,,,,
actor dramaturgo,actor dramaturgo,,,,
actor guionista director,actor guionista director,,,,
actor locutor,actor locutor,,,,
actor locutora,actor locutora,,,,
actor presentador,actor presentador,,,,
actor procurador,actor procurador,,,,
actor produccion,actor producción,,,,
actor publicitaria,actor publicitaria,,,,
actor spot,actor spot,,,,
actor voz,actor voz,,,,
actuario,actuario,,,,
adiestrador canino,adiestrador canino,,,,
adiestradora,adiestradora,,,,
adjunta consejero delegado,adjunta consejero delegado,,,,
adjunta de compras,adjunta de compras,,,,
adjunta departamento,adjunta departamento,,,,
adjunta departamento calidad,adjunta departamento calidad,,,,
adjunta encargado,adjunta encargado,,,,
adjunta gerente,adjunta gerente,,,,
adjunta jefe,adjunta jefe,,,,
adjunta jefe tienda,adjunta jefe tienda,,,,
adjunta oficina farmacia,adjunta oficina farmacia,,,,
adjunta operaciones,adjunta operaciones,,,,
adjunta tienda,adjunta tienda,,,,
adjunto al jefe de administracion,adjunto al jefe de administración,,,,
adjunto anestesia,adjunto anestesia,,,,
adjunto cirugia,adjunto cirugía,,,,
adjunto cirugia general aparato digestivo,adjunto cirugía general aparato digestivo,,,,
adjunto de calidad,adjunto de calidad,,,,
adjunto delegado,adjunto delegado,,,,
adjunto departamento,adjunto departamento,,,,
adjunto departamento calidad,adjunto departamento calidad,,,,
adjunto director calidad,adjunto director calidad,,,,
adjunto director compras,adjunto director compras,,,,
adjunto director planta,adjunto director planta,,,,
adjunto director proyecto,adjunto director proyecto,,,,
adjunto director recursos humanos,adjunto director recursos humanos,,,,
adjunto director tienda,adjunto director tienda,,,,
adjunto director ventas,adjunto director ventas,,,,
adjunto gerencia,adjunto gerencia,,,,
adjunto jefe almacen,adjunto jefe almacén,,,,
adjunto jefe fabrica,adjunto jefe fabrica,,,,
adjunto jefe servicio,adjunto jefe servicio,,,,
adjunto jefe ventas,adjunto jefe ventas,,,,
adjunto medicina intensiva,adjunto medicina intensiva,,,,
adjunto responsable compras,adjunto responsable compras,,,,
adjunto responsable operaciones,adjunto responsable operaciones,,,,
adjunto servicio urgencias,adjunto servicio urgencias,,,,
administador,administrador,,,,
administartivo,administrativo,,,,
administativo,administrativo,,,,
administracion justicia,administración justicia,,,,
administrador,administrador,,,,
administrador accionista,administrador accionista,,,,
administrador adjunto,administrador adjunto,,,,
administrador almacenamiento backup,administrador almacenamiento backup,,,,
administrador analista programador,administrador analista programador,,,,
administrador bbdd,administrador bbdd,,,,
administrador bi,administrador bi,,,,
