source,target
dibujante de diseno asistido por ordenador,3d cad designer
jefe de estudios,academic dean
tecnico de estudios,academic officer
disenador de calzados y complementos,accessories designer
asesor contable,account advisor
asesor de cuentas,account advisor
analista de cuentas,account analyst
consultor cuentas,account consultant
coordinador cuenta,account coordinator
director cuenta banca,account director
director de cuentas,account director
ejecutivo de cuentas,account executive
ejecutivo de grandes cuentas,account executive
agente de grandes cuentas,account manager
director contabilidad,account manager
gerente de cuentas,account manager
gestor cuentas cobrar,account manager
gestor de cuentas,account manager
gestor de grandes cuentas,account manager
gestor gran cuenta,account manager
gestor grandes cuentas,account manager
jefe grandes cuentas,account manager
responsable de grandes cuentas,account manager
tecnico gestor cuentas,account manager
trabajadora cuenta ajena,account manager
ejecutivo ventas grandes cuentas,account sales executive
supervisor de cuentas,account supervisor
responsable area fiscal contable,accountable manager
contable,accountant
contable superior,accountant
dependiente contable,accountant
contable / jefe de administracion,accountant administrator
auditor contable,accountant auditor
asesor contable fiscal,accountant tax advisor
asesor fiscal contable,accountant tax advisor
asesor fiscal laboral contable,accountant tax advisor
administrador contable,accounting administrator
administrativo contable atencion,accounting administrator
administrativo contable fiscal laboral,accounting administrator
administrativo de contabilidad,accounting administrator
administrativo de contabilidad y finanzas,accounting administrator
administrativo laboral contable,accounting administrator
jefe administrativo contable,accounting administrator
analista contable,accounting analyst
asistente contable,accounting assistant
asistente de contabilidad,accounting assistant
auxiliar contable fiscal,accounting assistant
auxiliar de contabilidad,accounting assistant
coordinador de contabilidad,accounting coordinator
experto contable,accounting expert
jefe contabilidad finanzas,accounting finance
encargado contabilidad,accounting manager
gestor contable fiscal,accounting manager
responsable contabilidad,accounting manager
responsable contable,accounting manager
oficial administrativo contabilidad,accounting officer
oficial contable,accounting officer
asesoria fiscal contable laboral,accounting technician
responsable de cuentas,accounts admin
administrativo cuentas,accounts administration
administrativo grandes cuentas,accounts administration
administrador cuentas,accounts administrator
asesoria laboral fiscal contable,accounts advisor
analista cuentas,accounts analyst
auxiliar cuentas,accounts assistant
auditor de cuentas,accounts audit
coordinador grandes cuentas,accounts coordinator
ejecutivo cuentas empresa,accounts executive
ejecutivo cuentas grandes,accounts executive
ejecutivo cuentas pymes,accounts executive
gerente de grandes cuentas,accounts office manager
gestor cobros grandes cuentas,accounts office manager
analista de cuentas a pagar,accounts payable analyst
jefe cuentas pagar,accounts payable manager
administrativo cuentas pagar,accounts payroll administrator
gestor cuentas pagar,accounts payroll manager
administrativo contable compras,accounts receivable clerk
administrativo departamento cobros,accounts receivable clerk
administrativo dpto cobros,accounts receivable clerk
ejecutivo supervisor cuentas,accounts supervisor
supervisor cuentas digital,accounts supervisor
supervisor grandes cuentas,accounts supervisor
tecnico cuentas pagar,accounts technician
tecnico grandes cuentas,accounts technician
ejecutivo cuentas trainee,accounts trainee
trainee ejecutivo cuentas,accounts trainee
coordinador actividades libre,activities coordinator
coordinador actividades ocio libre,activities coordinator
coordinador de actividades,activities coordinator
coordinador de actividades acuaticas,activities coordinator
coordinador monitor actividades extraescolares,activities coordinator
responsable actividades culturales,activities coordinator
responsable de actividades,activities coordinator
coordinador actividad,activity coordinator
actor,actor
actor cine,actor
actor creador,actor
actor dramaturgo,actor
actor produccion,actor
actor spot,actor
actor director,actor director
actor director doblaje,actor director
actor de publicidad,actor extra
actor locutor,actor presenter
actor locutora,actor presenter
actor presentador,actor presenter
actor cantante,actor singer
actor guionista director,actor writer director
actuario,actuary
oficial primera administrativo,admin officer
adjunto al jefe de administracion,administration assistant
ayudante administracion,administration assistant
coordinarod de la administracion,administration coordinator
jefe administracion obras,administration coordinator
jefe dpto administracion,administration coordinator
letrado administracion justicia,administration coordinator
responsable del departamento de administracion,administration coordinator
responsable departamento administracion,administration coordinator
responsable departamento administracion personal,administration coordinator
responsable dpto administracion,administration coordinator
administrador gerente,administration manager
jefe administracion gerente,administration manager
responsable administracion,administration manager
administrativo superior,administration supervisor
administrativo supervisor,administration supervisor
soporte administracion,administration support
administraivo,administrative
administrativo area,administrative
administrativo judicial,administrative
administrativo contable,administrative accountant
administrativo de cuentas,administrative accountant
responsable administracion contabilidad,administrative accountant
responsable departamento de contabilidad y administracion,administrative accountant
responsable dpto administrativo contable,administrative accountant
agente administrativo,administrative agent
agentee administrativo,administrative agent
administativo,administrative assistant
administrativo adjunto gerencia,administrative assistant
