data_id,mid,display,correct_mid,done_by
dibujante de diseno asistido por ordenador,3d cad designer,dibujante de diseño asistido por ordenador,,
jefe de estudios,academic dean,jefe de estudios,,
tecnico de estudios,academic officer,técnico de estudios,,
disenador de calzados y complementos,accessories designer,diseñador de calzados y complementos,,
asesor contable,account advisor,asesor contable,,
asesor de cuentas,account advisor,asesor de cuentas,,
analista de cuentas,account analyst,analista de cuentas,,
consultor cuentas,account consultant,consultor cuentas,,
coordinador cuenta,account coordinator,coordinador cuenta,,
director cuenta banca,account director,director cuenta banca,account advisor,
director de cuentas,account director,director de cuentas,,
ejecutivo de cuentas,account executive,ejecutivo de cuentas,,
ejecutivo de grandes cuentas,account executive,ejecutivo de grandes cuentas,,
agente de grandes cuentas,account manager,agente de grandes cuentas,,
director contabilidad,account manager,director contabilidad,,
gerente de cuentas,account manager,gerente de cuentas,,
gestor cuentas cobrar,account manager,gestor cuentas cobrar,,
gestor de cuentas,account manager,gestor de cuentas,,
gestor de grandes cuentas,account manager,gestor de grandes cuentas,,
gestor gran cuenta,account manager,gestor gran cuenta,,
gestor grandes cuentas,account manager,gestor grandes cuentas,,
jefe grandes cuentas,account manager,jefe grandes cuentas,,
responsable de grandes cuentas,account manager,responsable de grandes cuentas,,
tecnico gestor cuentas,account manager,técnico gestor cuentas,,
trabajadora cuenta ajena,account manager,trabajadora cuenta ajena,,
ejecutivo ventas grandes cuentas,account sales executive,ejecutivo ventas grandes cuentas,,
supervisor de cuentas,account supervisor,supervisor de cuentas,,
responsable area fiscal contable,accountable manager,responsable área fiscal contable,,
contable,accountant,contable,,
contable superior,accountant,contable superior,,
dependiente contable,accountant,dependiente contable,,
contable / jefe de administracion,accountant administrator,contable / jefe de administración,,
auditor contable,accountant auditor,auditor contable,,
asesor contable fiscal,accountant tax advisor,asesor contable fiscal,,
asesor fiscal contable,accountant tax advisor,asesor fiscal contable,,
asesor fiscal laboral contable,accountant tax advisor,asesor fiscal laboral contable,,
administrador contable,accounting administrator,administrador contable,,
administrativo contable atencion,accounting administrator,administrativo contable atención,,
administrativo contable fiscal laboral,accounting administrator,administrativo contable fiscal laboral,,
administrativo de contabilidad,accounting administrator,administrativo de contabilidad,,
administrativo de contabilidad y finanzas,accounting administrator,administrativo de contabilidad y finanzas,,
administrativo laboral contable,accounting administrator,administrativo laboral contable,,
jefe administrativo contable,accounting administrator,jefe administrativo contable,,
analista contable,accounting analyst,analista contable,,
asistente contable,accounting assistant,asistente contable,,
asistente de contabilidad,accounting assistant,asistente de contabilidad,,
auxiliar contable fiscal,accounting assistant,auxiliar contable fiscal,,
auxiliar de contabilidad,accounting assistant,auxiliar de contabilidad,,
coordinador de contabilidad,accounting coordinator,coordinador de contabilidad,,
experto contable,accounting expert,experto contable,,
jefe contabilidad finanzas,accounting finance,jefe contabilidad finanzas,,
encargado contabilidad,accounting manager,encargado contabilidad,,
gestor contable fiscal,accounting manager,gestor contable fiscal,,
responsable contabilidad,accounting manager,responsable contabilidad,,
responsable contable,accounting manager,responsable contable,,
oficial administrativo contabilidad,accounting officer,oficial administrativo contabilidad,,
oficial contable,accounting officer,oficial contable,,
asesoria fiscal contable laboral,accounting technician,asesoría fiscal contable laboral,,
responsable de cuentas,accounts admin,responsable de cuentas,,
administrativo cuentas,accounts administration,administrativo cuentas,,
administrativo grandes cuentas,accounts administration,administrativo grandes cuentas,,
administrador cuentas,accounts administrator,administrador cuentas,,
asesoria laboral fiscal contable,accounts advisor,asesoría laboral fiscal contable,,
analista cuentas,accounts analyst,analista cuentas,,
auxiliar cuentas,accounts assistant,auxiliar cuentas,,
auditor de cuentas,accounts audit,auditor de cuentas,,
coordinador grandes cuentas,accounts coordinator,coordinador grandes cuentas,,
ejecutivo cuentas empresa,accounts executive,ejecutivo cuentas empresa,,
ejecutivo cuentas grandes,accounts executive,ejecutivo cuentas grandes,,
ejecutivo cuentas pymes,accounts executive,ejecutivo cuentas pymes,,
gerente de grandes cuentas,accounts office manager,gerente de grandes cuentas,,
gestor cobros grandes cuentas,accounts office manager,gestor cobros grandes cuentas,,
analista de cuentas a pagar,accounts payable analyst,analista de cuentas a pagar,,
jefe cuentas pagar,accounts payable manager,jefe cuentas pagar,,
administrativo cuentas pagar,accounts payroll administrator,administrativo cuentas pagar,,
gestor cuentas pagar,accounts payroll manager,gestor cuentas pagar,,
administrativo contable compras,accounts receivable clerk,administrativo contable compras,,
administrativo departamento cobros,accounts receivable clerk,administrativo departamento cobros,,
administrativo dpto cobros,accounts receivable clerk,administrativo dpto. cobros,,
ejecutivo supervisor cuentas,accounts supervisor,ejecutivo supervisor cuentas,,
supervisor cuentas digital,accounts supervisor,supervisor cuentas digital,,
supervisor grandes cuentas,accounts supervisor,supervisor grandes cuentas,,
tecnico cuentas pagar,accounts technician,técnico cuentas pagar,,
tecnico grandes cuentas,accounts technician,técnico grandes cuentas,,
ejecutivo cuentas trainee,accounts trainee,ejecutivo cuentas trainee,,
trainee ejecutivo cuentas,accounts trainee,trainee ejecutivo cuentas,,
coordinador actividades libre,activities coordinator,coordinador actividades libre,,
coordinador actividades ocio libre,activities coordinator,coordinador actividades ocio libre,,
coordinador de actividades,activities coordinator,coordinador de actividades,,
coordinador de actividades acuaticas,activities coordinator,coordinador de actividades acuáticas,,
coordinador monitor actividades extraescolares,activities coordinator,coordinador monitor actividades extraescolares,,
responsable actividades culturales,activities coordinator,responsable actividades culturales,,
responsable de actividades,activities coordinator,responsable de actividades,,
coordinador actividad,activity coordinator,coordinador actividad,,
actor,actor,actor,,
actor cine,actor,actor cine,,
actor creador,actor,actor creador,,
actor dramaturgo,actor,actor dramaturgo,,
actor produccion,actor,actor producción,,
actor spot,actor,actor spot,,
actor director,actor director,actor director,,
actor director doblaje,actor director,actor director doblaje,,
actor de publicidad,actor extra,actor de publicidad,,
actor locutor,actor presenter,actor locutor,,
actor locutora,actor presenter,actor locutora,,
actor presentador,actor presenter,actor presentador,,
actor cantante,actor singer,actor cantante,,
actor guionista director,actor writer director,actor guionista director,,
actuario,actuary,actuario,,
oficial primera administrativo,admin officer,oficial primera administrativo,,
adjunto al jefe de administracion,administration assistant,adjunto al jefe de administración,,
ayudante administracion,administration assistant,ayudante administración,,
coordinarod de la administracion,administration coordinator,coordinador de la administración,,
jefe administracion obras,administration coordinator,jefe administración obras,,
jefe dpto administracion,administration coordinator,jefe dpto. administración,,
letrado administracion justicia,administration coordinator,letrado administración justicia,,
responsable del departamento de administracion,administration coordinator,responsable del departamento de administración,,
responsable departamento administracion,administration coordinator,responsable departamento administración,,
responsable departamento administracion personal,administration coordinator,responsable departamento administración personal,,
responsable dpto administracion,administration coordinator,responsable dpto. administración,,
administrador gerente,administration manager,administrador gerente,,
jefe administracion gerente,administration manager,jefe administración gerente,,
responsable administracion,administration manager,responsable administración,,
administrativo superior,administration supervisor,administrativo superior,,
administrativo supervisor,administration supervisor,administrativo supervisor,,
soporte administracion,administration support,soporte administración,,
administraivo,administrative,administrativo,,
administrativo area,administrative,administrativo área,,
administrativo judicial,administrative,administrativo judicial,,
administrativo contable,administrative accountant,administrativo contable,,
administrativo de cuentas,administrative accountant,administrativo de cuentas,,
responsable administracion contabilidad,administrative accountant,responsable administración contabilidad,,
responsable departamento de contabilidad y administracion,administrative accountant,responsable departamento de contabilidad y administración,,
responsable dpto administrativo contable,administrative accountant,responsable dpto. administrativo contable,,
agente administrativo,administrative agent,agente administrativo,,
agentee administrativo,administrative agent,agente administrativo,,
administativo,administrative assistant,administrativo,,
administrativo adjunto gerencia,administrative assistant,administrativo adjunto gerencia,,
administrativo auxiliar administrativo,administrative assistant,administrativo auxiliar administrativo,,
auxilar administrativo,administrative assistant,auxiliar administrativo,,
auxiliar administrativo ayudante,administrative assistant,auxiliar administrativo ayudante,,
auxiliar administrativo becario,administrative assistant,auxiliar administrativo becario,,
auxiliar administrativo celador,administrative assistant,auxiliar administrativo celador,,
auxiliar administrativo delineante,administrative assistant,auxiliar administrativo delineante,,
auxiliar administrativo idiomas,administrative assistant,auxiliar administrativo idiomas,,
auxiliar administrativo responsable,administrative assistant,auxiliar administrativo responsable,,
auxliar administrativo,administrative assistant,auxiliar administrativo,,
ayudante administrativo,administrative assistant,ayudante administrativo,,
ayudante auxiliar administrativo,administrative assistant,ayudante auxiliar administrativo,,
delineante auxiliar administrativo,administrative assistant,delineante auxiliar administrativo,,
ordenanza,administrative assistant,ordenanza,,
administrativo tramitador,administrative clerk,administrativo tramitador,,
coordinador administrativo,administrative coordinator,coordinador administrativo,,
